modal	service	distance	km_category	route_id	capture_time	city	image_id
bicycle	bicycle	7600	10.5	355030815000030355030871000031	2020-08-02 16:16:14	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000031_2020-08-02_16-16_1596395774.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 01:52:07	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_01-52_1596343927.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 02:11:55	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_02-11_1596345115.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 03:16:22	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_03-16_1596348982.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 04:16:21	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_04-16_1596352581.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 05:16:22	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_05-16_1596356182.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 06:16:21	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_06-16_1596359781.png
bicycle	bicycle	8500	10.5	355030815000030355030871000063	2020-08-02 07:16:22	sp	./volume_sp/images/modal/bicycle_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_07-16_1596363382.png
car	car	10000	9.0	355030815000030355030871000035	2020-08-02 09:23:04	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030815000030355030871000035_2020-08-02_09-23_1596370984.png
car	car	8800	9.0	355030815000030355030871000035	2020-08-02 11:08:49	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030815000030355030871000035_2020-08-02_11-08_1596377329.png
car	car	9000	9.0	355030815000030355030871000059	2020-08-02 16:01:53	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030815000030355030871000059_2020-08-02_16-01_1596394913.png
car	car	9500	9.0	355030838000198355030815000002	2020-08-02 13:52:20	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030838000198355030815000002_2020-08-02_13-52_1596387140.png
car	car	9500	9.0	355030838000198355030815000002	2020-08-02 15:08:49	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030838000198355030815000002_2020-08-02_15-08_1596391729.png
car	car	9000	9.0	355030838000198355030815000085	2020-08-02 12:05:59	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030838000198355030815000085_2020-08-02_12-05_1596380759.png
car	car	10000	9.0	355030838000198355030815000085	2020-08-02 13:02:01	sp	./volume_sp/images/modal/car_v0_836cc001_9.0_355030838000198355030815000085_2020-08-02_13-02_1596384121.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 01:57:46	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_01-57_1596344266.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 03:02:12	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_03-02_1596348132.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 04:02:13	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_04-02_1596351733.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 05:02:12	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_05-02_1596355332.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 06:02:12	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_06-02_1596358932.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 07:02:13	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_07-02_1596362533.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 08:02:12	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_08-02_1596366132.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 09:02:13	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_09-02_1596369733.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 13:45:43	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_13-45_1596386743.png
mocycle	mocycle	650	0.5	355030838000198355030838000149	2020-08-02 15:02:12	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_0.5_355030838000198355030838000149_2020-08-02_15-02_1596391332.png
mocycle	mocycle	1200	1.0	355030838000198355030838000195	2020-08-02 01:44:46	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_01-44_1596343486.png
mocycle	mocycle	1200	1.0	355030838000198355030838000195	2020-08-02 02:04:34	sp	./volume_sp/images/modal/mocycle_v0_d1568d9c_1.0_355030838000198355030838000195_2020-08-02_02-04_1596344674.png
bicycle	bicycle	750	2.5	355030815000030355030815000059	2020-08-02 02:11:44	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-11_1596345104.png
bicycle	bicycle	750	2.5	355030815000030355030815000059	2020-08-02 03:16:10	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_03-16_1596348970.png
bicycle	bicycle	750	2.5	355030815000030355030815000059	2020-08-02 05:16:11	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_05-16_1596356171.png
bicycle	bicycle	750	2.5	355030815000030355030815000059	2020-08-02 07:16:11	sp	./volume_sp/images/modal/bicycle_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_07-16_1596363371.png
