SECTOR_CENTROID	SECTOR_ID	CITY
[-46.65673408788775, -23.627795443020414]	355030815000030	CAMPO-BELO
[-46.67813327081255, -23.63252470154545]	355030815000045	CAMPO-BELO
[-46.68266665576029, -23.62866895948147]	355030815000046	CAMPO-BELO
[-46.675657750997644, -23.63656774896523]	355030815000116	CAMPO-BELO
[-46.68049277666104, -23.626714509539497]	355030815000047	CAMPO-BELO
[-46.66317782752906, -23.618962220142897]	355030815000057	CAMPO-BELO
[-46.67390671708439, -23.613376821304797]	355030815000095	CAMPO-BELO
[-46.67620670975489, -23.612012818657213]	355030815000094	CAMPO-BELO
[-46.66586838483331, -23.637053813585894]	355030815000038	CAMPO-BELO
[-46.66484024875594, -23.63592317279887]	355030815000015	CAMPO-BELO
[-46.676208561108666, -23.626489177096815]	355030815000022	CAMPO-BELO
[-46.672434872071236, -23.629751905393576]	355030815000006	CAMPO-BELO
[-46.679689952533366, -23.624130061232478]	355030815000117	CAMPO-BELO
[-46.67531191323715, -23.63104064742479]	355030815000020	CAMPO-BELO
[-46.67726205868773, -23.62885531954212]	355030815000021	CAMPO-BELO
[-46.668430564016, -23.617058313837095]	355030815000097	CAMPO-BELO
[-46.65253461397235, -23.6382444079718]	355030815000079	CAMPO-BELO
[-46.663326171489814, -23.623772072377758]	355030815000059	CAMPO-BELO
[-46.663800337737364, -23.625239469943093]	355030815000060	CAMPO-BELO
[-46.67331732610177, -23.632973420899543]	355030815000019	CAMPO-BELO
[-46.65411456887318, -23.63697270175877]	355030815000078	CAMPO-BELO
[-46.66690617491964, -23.62862181551427]	355030815000002	CAMPO-BELO
[-46.665887576014356, -23.617569515763915]	355030815000098	CAMPO-BELO
[-46.66015823280984, -23.636356373750182]	355030815000063	CAMPO-BELO
[-46.66996136264415, -23.642378863257246]	355030815000065	CAMPO-BELO
[-46.67108553660629, -23.614579853390065]	355030815000096	CAMPO-BELO
[-46.682203790941436, -23.620432280949306]	355030815000083	CAMPO-BELO
[-46.671302745924194, -23.635830615749338]	355030815000017	CAMPO-BELO
[-46.6749240388086, -23.63960164408738]	355030815000068	CAMPO-BELO
[-46.67047053463089, -23.61618620721255]	355030815000138	CAMPO-BELO
[-46.677617656480905, -23.622915309750535]	355030815000048	CAMPO-BELO
[-46.681631031745354, -23.63166027650676]	355030815000069	CAMPO-BELO
[-46.66723827478898, -23.62372915637698]	355030815000027	CAMPO-BELO
[-46.672729971628335, -23.63449269589403]	355030815000106	CAMPO-BELO
[-46.674727977103956, -23.62513544159889]	355030815000023	CAMPO-BELO
[-46.65706403189386, -23.635543476235114]	355030815000061	CAMPO-BELO
[-46.673690001922395, -23.64154989216006]	355030815000067	CAMPO-BELO
[-46.68131381356828, -23.62307210422747]	355030815000072	CAMPO-BELO
[-46.68537623499612, -23.62641353410966]	355030815000070	CAMPO-BELO
[-46.671510525896906, -23.619301534958343]	355030815000053	CAMPO-BELO
[-46.656477216552716, -23.63941795833693]	355030815000080	CAMPO-BELO
[-46.66588164315196, -23.625639035345316]	355030815000028	CAMPO-BELO
[-46.66709408468624, -23.641242749127255]	355030815000122	CAMPO-BELO
[-46.65774251629879, -23.633257219056187]	355030815000033	CAMPO-BELO
[-46.66764918334637, -23.626204007572102]	355030815000010	CAMPO-BELO
[-46.67175356136875, -23.641414716867356]	355030815000043	CAMPO-BELO
[-46.67711577645381, -23.61783625347147]	355030815000085	CAMPO-BELO
[-46.66802811347048, -23.64001140669537]	355030815000064	CAMPO-BELO
[-46.6592931959235, -23.640760334288913]	355030815000082	CAMPO-BELO
[-46.673284488948454, -23.637638050391104]	355030815000044	CAMPO-BELO
[-46.66508301703815, -23.631453203820424]	355030815000013	CAMPO-BELO
[-46.6691772388045, -23.628471858982408]	355030815000101	CAMPO-BELO
[-46.65787452706539, -23.637561269449908]	355030815000121	CAMPO-BELO
[-46.66289956806998, -23.63465544021488]	355030815000037	CAMPO-BELO
[-46.673795060922416, -23.62361539033567]	355030815000024	CAMPO-BELO
[-46.66929587741106, -23.619231096600117]	355030815000054	CAMPO-BELO
[-46.666869399575894, -23.63235664081787]	355030815000014	CAMPO-BELO
[-46.66712275126032, -23.630538409139596]	355030815000012	CAMPO-BELO
[-46.65818600822855, -23.639968301900677]	355030815000081	CAMPO-BELO
[-46.67985254656464, -23.618418872347192]	355030815000084	CAMPO-BELO
[-46.6672091084597, -23.633373152028625]	355030815000104	CAMPO-BELO
[-46.6602920908604, -23.633993247129528]	355030815000034	CAMPO-BELO
[-46.67160622360824, -23.620942858614086]	355030815000052	CAMPO-BELO
[-46.66445010372356, -23.627509175362484]	355030815000011	CAMPO-BELO
[-46.65934433538296, -23.637592205504568]	355030815000062	CAMPO-BELO
[-46.67746401089044, -23.615467981286173]	355030815000092	CAMPO-BELO
[-46.66650072982382, -23.639139942118703]	355030815000113	CAMPO-BELO
[-46.67863564382876, -23.616343955514793]	355030815000091	CAMPO-BELO
[-46.67229488929637, -23.639275443288962]	355030815000115	CAMPO-BELO
[-46.67966445860365, -23.620319961340982]	355030815000131	CAMPO-BELO
[-46.666155778909676, -23.619174615578093]	355030815000099	CAMPO-BELO
[-46.67535163627843, -23.616249195165306]	355030815000086	CAMPO-BELO
[-46.666456819103225, -23.620668748833875]	355030815000055	CAMPO-BELO
[-46.665736513993096, -23.63865923876799]	355030815000039	CAMPO-BELO
[-46.67284606716463, -23.616852785557068]	355030815000087	CAMPO-BELO
[-46.6633623141317, -23.622179259910297]	355030815000058	CAMPO-BELO
[-46.66918045977134, -23.622566357142844]	355030815000108	CAMPO-BELO
[-46.67602568627688, -23.62078662983326]	355030815000075	CAMPO-BELO
[-46.66875982060261, -23.621048573116067]	355030815000120	CAMPO-BELO
[-46.663997386293545, -23.63405176968885]	355030815000036	CAMPO-BELO
[-46.67079642892343, -23.625888870867822]	355030815000102	CAMPO-BELO
[-46.671698057637, -23.624715508214067]	355030815000025	CAMPO-BELO
[-46.665434317179276, -23.621629941093172]	355030815000142	CAMPO-BELO
[-46.68170195952429, -23.6218134874142]	355030815000130	CAMPO-BELO
[-46.66933359760219, -23.639267931718706]	355030815000114	CAMPO-BELO
[-46.67018931134321, -23.638584591371423]	355030815000041	CAMPO-BELO
[-46.670015483947346, -23.63685401964793]	355030815000105	CAMPO-BELO
[-46.66989453071407, -23.627145247957653]	355030815000100	CAMPO-BELO
[-46.677412983811, -23.61251661634912]	355030815000093	CAMPO-BELO
[-46.65478830933443, -23.639887461118303]	355030815000133	CAMPO-BELO
[-46.672329287992355, -23.626442719251667]	355030815000008	CAMPO-BELO
[-46.66988746625504, -23.63414426536194]	355030815000018	CAMPO-BELO
[-46.66214107307448, -23.632820972178806]	355030815000112	CAMPO-BELO
[-46.66329688752618, -23.632143738913708]	355030815000035	CAMPO-BELO
[-46.672660875981975, -23.62744158772135]	355030815000007	CAMPO-BELO
[-46.6709849389478, -23.643847940432714]	355030815000066	CAMPO-BELO
[-46.68522991050485, -23.624603024033902]	355030815000128	CAMPO-BELO
[-46.670868602630605, -23.628663823458364]	355030815000001	CAMPO-BELO
[-46.67728736100646, -23.620475114138177]	355030815000074	CAMPO-BELO
[-46.67504722439815, -23.618110206787104]	355030815000135	CAMPO-BELO
[-46.67369297812672, -23.61502184870727]	355030815000140	CAMPO-BELO
[-46.67817331503985, -23.619754915131136]	355030815000073	CAMPO-BELO
[-46.661577518503364, -23.63560742584694]	355030815000111	CAMPO-BELO
[-46.67142187814683, -23.62308939770018]	355030815000119	CAMPO-BELO
[-46.67416041217277, -23.6188083910131]	355030815000088	CAMPO-BELO
[-46.6755428752769, -23.62187359826161]	355030815000049	CAMPO-BELO
[-46.67067619152339, -23.622293289937875]	355030815000026	CAMPO-BELO
[-46.66847675189735, -23.637054867639037]	355030815000040	CAMPO-BELO
[-46.68334530681643, -23.625216242999052]	355030815000124	CAMPO-BELO
[-46.66463092585325, -23.619836498459694]	355030815000056	CAMPO-BELO
[-46.671694033555994, -23.64017418804897]	355030815000042	CAMPO-BELO
[-46.68324053325906, -23.623433760119337]	355030815000126	CAMPO-BELO
[-46.68407824088715, -23.622731267976484]	355030815000071	CAMPO-BELO
[-46.68429315453822, -23.62444058131427]	355030815000127	CAMPO-BELO
[-46.67616664041038, -23.619290770946627]	355030815000132	CAMPO-BELO
[-46.680345426639505, -23.61733350582482]	355030815000139	CAMPO-BELO
[-46.67392345286663, -23.616922632602414]	355030815000134	CAMPO-BELO
[-46.674420520968255, -23.620687693184685]	355030815000076	CAMPO-BELO
[-46.67270673532961, -23.62206040677885]	355030815000051	CAMPO-BELO
[-46.67356069900188, -23.621374455116033]	355030815000077	CAMPO-BELO
[-46.64856566897261, -23.630563256082382]	355030815000031	CAMPO-BELO
[-46.67431158692444, -23.62216705267052]	355030815000050	CAMPO-BELO
[-46.67013871047238, -23.624118361934364]	355030815000107	CAMPO-BELO
[-46.67345391194007, -23.622853159638314]	355030815000118	CAMPO-BELO
[-46.6692785184697, -23.624799300429807]	355030815000009	CAMPO-BELO
[-46.673674916762614, -23.6198938147572]	355030815000136	CAMPO-BELO
[-46.67293214446171, -23.619103201476243]	355030815000089	CAMPO-BELO
[-46.66290797324513, -23.627162918600437]	355030815000029	CAMPO-BELO
[-46.672231737951705, -23.630311051601048]	355030815000005	CAMPO-BELO
[-46.6700592492105, -23.63223732014567]	355030815000004	CAMPO-BELO
[-46.670652076797886, -23.632773142195585]	355030815000141	CAMPO-BELO
[-46.679430217278366, -23.616443034294427]	355030815000090	CAMPO-BELO
[-46.679975410279816, -23.616481027768653]	355030815000137	CAMPO-BELO
[-46.67142130259339, -23.631946047514557]	355030815000146	CAMPO-BELO
[-46.669057097486046, -23.63032725799643]	355030815000003	CAMPO-BELO
[-46.65550591911125, -23.633822833329187]	355030815000032	CAMPO-BELO
[-46.67703446666179, -23.625286615881507]	355030815000147	CAMPO-BELO
[-46.67659925628717, -23.624248671468376]	355030815000148	CAMPO-BELO
[-46.68494298817697, -23.62635495004726]	355030815000123	CAMPO-BELO
[-46.68389060669298, -23.624735258787833]	355030815000125	CAMPO-BELO
[-46.68486777879831, -23.62395707817477]	355030815000129	CAMPO-BELO
[-46.66116909564264, -23.634735956343917]	355030815000110	CAMPO-BELO
[-46.66548298972343, -23.627526848072463]	355030815000103	CAMPO-BELO
[-46.66296058323016, -23.62737195675357]	355030815000109	CAMPO-BELO
[-46.66945537164336, -23.631090495201253]	355030815000143	CAMPO-BELO
[-46.66925853115469, -23.632608689855157]	355030815000144	CAMPO-BELO
[-46.65628326713024, -23.634143869660086]	355030815000145	CAMPO-BELO
[-46.667868771448475, -23.634741540542997]	355030815000016	CAMPO-BELO
[-46.629437255360465, -23.646732914220433]	355030838000198	JABAQUARA
[-46.64206844851361, -23.65235270963464]	355030838000027	JABAQUARA
[-46.633608597464146, -23.66782777487223]	355030838000207	JABAQUARA
[-46.63821867141855, -23.648287359792782]	355030838000092	JABAQUARA
[-46.63358082205896, -23.63036212980299]	355030838000245	JABAQUARA
[-46.66110415886257, -23.661706998013635]	355030838000114	JABAQUARA
[-46.66687572651045, -23.65287247041589]	355030838000173	JABAQUARA
[-46.642545616387466, -23.64068585724687]	355030838000089	JABAQUARA
[-46.63783490449527, -23.64065190800223]	355030838000194	JABAQUARA
[-46.66321446772488, -23.643698764573735]	355030838000226	JABAQUARA
[-46.6344242833664, -23.647231893607362]	355030838000149	JABAQUARA
[-46.634979292486165, -23.64986410166745]	355030838000150	JABAQUARA
[-46.633268423604804, -23.645131674883423]	355030838000197	JABAQUARA
[-46.644399035725854, -23.65079936944037]	355030838000025	JABAQUARA
[-46.64417561001608, -23.645711832551214]	355030838000049	JABAQUARA
[-46.63119876492051, -23.638889518073384]	355030838000251	JABAQUARA
[-46.6345554152932, -23.654771698709773]	355030838000152	JABAQUARA
[-46.647466038245966, -23.6383930532262]	355030838000135	JABAQUARA
[-46.64670655659621, -23.644814021753064]	355030838000084	JABAQUARA
[-46.64754564815071, -23.64877125919274]	355030838000048	JABAQUARA
[-46.646084984584036, -23.639806716324074]	355030838000134	JABAQUARA
[-46.65143662908091, -23.657565272675896]	355030838000014	JABAQUARA
[-46.658363276986265, -23.650340879787954]	355030838000040	JABAQUARA
[-46.65500029782778, -23.655869791505204]	355030838000038	JABAQUARA
[-46.635992569228485, -23.642574070108246]	355030838000195	JABAQUARA
[-46.63193062123618, -23.664399222420847]	355030838000306	JABAQUARA
[-46.64993053738722, -23.651805005879147]	355030838000005	JABAQUARA
[-46.64392447933331, -23.63110881591267]	355030838000232	JABAQUARA
[-46.65037639499252, -23.655239081614766]	355030838000002	JABAQUARA
[-46.64271261478265, -23.636001607345637]	355030838000185	JABAQUARA
[-46.66072425784555, -23.659550681747913]	355030838000115	JABAQUARA
[-46.641988039248204, -23.646211841060044]	355030838000091	JABAQUARA
[-46.65268916084275, -23.641237048364015]	355030838000131	JABAQUARA
[-46.644672423602756, -23.638061226736582]	355030838000137	JABAQUARA
[-46.63734223974757, -23.646191167688013]	355030838000148	JABAQUARA
[-46.64957978291859, -23.644311331727707]	355030838000083	JABAQUARA
[-46.65714860800244, -23.654323130879312]	355030838000017	JABAQUARA
[-46.65805761764655, -23.659134007121676]	355030838000068	JABAQUARA
[-46.634812062429376, -23.63998534002797]	355030838000253	JABAQUARA
[-46.637571066904506, -23.64457678691479]	355030838000147	JABAQUARA
[-46.63714957482491, -23.66679862611118]	355030838000209	JABAQUARA
[-46.662452883439926, -23.649273531627905]	355030838000122	JABAQUARA
[-46.64817750697025, -23.647666937618364]	355030838000047	JABAQUARA
[-46.64783222400931, -23.635603709265407]	355030838000181	JABAQUARA
[-46.642335120964006, -23.64339204189089]	355030838000090	JABAQUARA
[-46.654062816209155, -23.645271911312047]	355030838000081	JABAQUARA
[-46.63313359281934, -23.662187372497804]	355030838000202	JABAQUARA
[-46.637624537607586, -23.652750602084076]	355030838000094	JABAQUARA
[-46.668577295900334, -23.64966794832586]	355030838000216	JABAQUARA
[-46.63698009647679, -23.65136219458847]	355030838000093	JABAQUARA
[-46.63177845236816, -23.642433218088286]	355030838000256	JABAQUARA
[-46.64770070510489, -23.632884901872885]	355030838000310	JABAQUARA
[-46.64325215222074, -23.65742791748561]	355030838000028	JABAQUARA
[-46.668025432178965, -23.643384324161456]	355030838000274	JABAQUARA
[-46.646688272254146, -23.65439486329103]	355030838000007	JABAQUARA
[-46.63300592662374, -23.63925838447717]	355030838000252	JABAQUARA
[-46.6671135247375, -23.64436618190026]	355030838000273	JABAQUARA
[-46.646280899291014, -23.65004075710919]	355030838000024	JABAQUARA
[-46.64680586487449, -23.634482373158605]	355030838000182	JABAQUARA
[-46.660166415836095, -23.649021061091183]	355030838000075	JABAQUARA
