SECTOR_POLYGON	SECTOR_ID	CITY
[[-46.650164, -23.629611], [-46.650416, -23.629535], [-46.650512, -23.629493], [-46.65053, -23.629482], [-46.65059, -23.629443], [-46.650722, -23.629263], [-46.650976, -23.6289], [-46.651189, -23.628596], [-46.65131, -23.628428], [-46.651441, -23.628239], [-46.651542, -23.628092], [-46.651586, -23.628013], [-46.651708, -23.627773], [-46.651759, -23.627666], [-46.651989, -23.627222], [-46.652033, -23.627134], [-46.652206, -23.626692], [-46.652574, -23.625757], [-46.652584, -23.625679], [-46.652685, -23.625427], [-46.65277, -23.625243], [-46.6528, -23.625197], [-46.652896, -23.62503], [-46.652936, -23.624954], [-46.653091, -23.62471], [-46.653335, -23.624295], [-46.653547, -23.623929], [-46.653781, -23.623532], [-46.653902, -23.623316], [-46.653933, -23.623259], [-46.654125, -23.622904], [-46.654609, -23.622028], [-46.654683, -23.621844], [-46.654728, -23.621688], [-46.654814, -23.621522], [-46.654937, -23.621272], [-46.654962, -23.621202], [-46.654993, -23.621114], [-46.655102, -23.620758], [-46.655717, -23.620357], [-46.656419, -23.619931], [-46.656524, -23.619867], [-46.656842, -23.619685], [-46.657242, -23.619485], [-46.657804, -23.619215], [-46.658469, -23.618903], [-46.659483, -23.618428], [-46.660521, -23.617955], [-46.661687, -23.617398], [-46.661777, -23.617551], [-46.661825, -23.617631], [-46.661892, -23.617783], [-46.661943, -23.61791], [-46.661989, -23.618059], [-46.66202, -23.618171], [-46.662045, -23.618345], [-46.662054, -23.618396], [-46.662064, -23.618546], [-46.662068, -23.618638], [-46.662059, -23.618762], [-46.662048, -23.618913], [-46.662026, -23.619114], [-46.661995, -23.619397], [-46.661963, -23.619688], [-46.661935, -23.619976], [-46.66191, -23.62027], [-46.661887, -23.62052], [-46.661856, -23.620912], [-46.661815, -23.621329], [-46.661797, -23.621527], [-46.661759, -23.622022], [-46.661675, -23.622889], [-46.66167, -23.622969], [-46.661634, -23.623455], [-46.661611, -23.623763], [-46.661587, -23.624458], [-46.661587, -23.625061], [-46.661599, -23.625085], [-46.661498, -23.626107], [-46.661514, -23.626273], [-46.661442, -23.626771], [-46.661451, -23.627081], [-46.661596, -23.627491], [-46.661821, -23.627771], [-46.662103, -23.628026], [-46.662253, -23.62812], [-46.662463, -23.628239], [-46.662581, -23.628291], [-46.662762, -23.628347], [-46.662966, -23.628402], [-46.663214, -23.628473], [-46.663488, -23.628549], [-46.663667, -23.628593], [-46.664369, -23.628763], [-46.664941, -23.628915], [-46.665376, -23.629023], [-46.665649, -23.629087], [-46.666008, -23.629147], [-46.66683, -23.629305], [-46.666993, -23.629348], [-46.666906, -23.629394], [-46.666575, -23.629567], [-46.666456, -23.629625], [-46.666347, -23.629665], [-46.666281, -23.629696], [-46.665559, -23.63004], [-46.664553, -23.630526], [-46.663552, -23.631014], [-46.662544, -23.631504], [-46.66154, -23.631987], [-46.660534, -23.632473], [-46.660077, -23.632698], [-46.659998, -23.632788], [-46.659938, -23.632898], [-46.65923, -23.63271], [-46.659099, -23.632686], [-46.659005, -23.632652], [-46.658741, -23.632575], [-46.658565, -23.632534], [-46.658499, -23.632507], [-46.658378, -23.632452], [-46.658325, -23.632434], [-46.658233, -23.632412], [-46.658079, -23.632384], [-46.657892, -23.632358], [-46.657778, -23.632354], [-46.656662, -23.63237], [-46.65639, -23.632375], [-46.656337, -23.632372], [-46.656138, -23.632309], [-46.655837, -23.632557], [-46.655826, -23.632632], [-46.655801, -23.632972], [-46.655802, -23.633041], [-46.655807, -23.633045], [-46.655801, -23.633115], [-46.655457, -23.633076], [-46.655202, -23.63451], [-46.655515, -23.634576], [-46.655497, -23.634624], [-46.655463, -23.634627], [-46.655445, -23.634628], [-46.65543, -23.634642], [-46.655361, -23.634999], [-46.655353, -23.635077], [-46.65535, -23.63521], [-46.655518, -23.635614], [-46.655347, -23.635669], [-46.654949, -23.635808], [-46.654696, -23.635896], [-46.654082, -23.636113], [-46.653554, -23.636299], [-46.65331, -23.636387], [-46.653091, -23.63646], [-46.653021, -23.636466], [-46.652899, -23.636463], [-46.652646, -23.636375], [-46.652379, -23.636272], [-46.65194, -23.636081], [-46.651691, -23.63598], [-46.65156, -23.636013], [-46.651478, -23.636109], [-46.651407, -23.636433], [-46.651344, -23.63658], [-46.651317, -23.636613], [-46.651225, -23.636546], [-46.651022, -23.63637], [-46.650929, -23.636291], [-46.65071, -23.636112], [-46.650524, -23.635986], [-46.65042, -23.635918], [-46.650254, -23.635837], [-46.650078, -23.635758], [-46.649969, -23.635722], [-46.649767, -23.635679], [-46.649055, -23.635546], [-46.649079, -23.635503], [-46.649382, -23.635022], [-46.649509, -23.634827], [-46.648955, -23.634566], [-46.648962, -23.634375], [-46.649449, -23.633686], [-46.649608, -23.633427], [-46.649664, -23.633298], [-46.649694, -23.633165], [-46.649715, -23.63302], [-46.649703, -23.632621], [-46.649598, -23.631855], [-46.649258, -23.63165], [-46.649362, -23.631499], [-46.649483, -23.631217], [-46.648676, -23.630784], [-46.648851, -23.630547], [-46.649234, -23.63004], [-46.649377, -23.629833]]	355030815000030	CAMPO-BELO
[[-46.676729, -23.635164], [-46.676669, -23.635114], [-46.676583, -23.635027], [-46.675772, -23.634158], [-46.675748, -23.634136], [-46.675672, -23.634062], [-46.675111, -23.633473], [-46.674735, -23.633075], [-46.674948, -23.632905], [-46.67537, -23.632564], [-46.675579, -23.632385], [-46.676434, -23.631698], [-46.676698, -23.631482], [-46.677185, -23.631092], [-46.677286, -23.631008], [-46.677366, -23.630944], [-46.678143, -23.630318], [-46.678204, -23.630264], [-46.679001, -23.629629], [-46.679076, -23.629566], [-46.679821, -23.628976], [-46.679858, -23.628943], [-46.680103, -23.629206], [-46.680377, -23.629493], [-46.680677, -23.629818], [-46.680735, -23.629889], [-46.680787, -23.62995], [-46.680846, -23.630022], [-46.681011, -23.630349], [-46.681074, -23.630547], [-46.68107, -23.630594], [-46.681065, -23.630658], [-46.681052, -23.630909], [-46.681044, -23.630997], [-46.681029, -23.631069], [-46.681011, -23.631118], [-46.681003, -23.631137], [-46.68095, -23.631219], [-46.680808, -23.631499], [-46.680227, -23.631901], [-46.679754, -23.632224], [-46.679601, -23.632397], [-46.679511, -23.632616], [-46.679459, -23.633013], [-46.67947, -23.633165], [-46.679505, -23.633268], [-46.679612, -23.633398], [-46.679727, -23.633637], [-46.679759, -23.633703], [-46.679803, -23.633791], [-46.679435, -23.634104], [-46.679246, -23.63429], [-46.679062, -23.634491], [-46.678765, -23.634843], [-46.677776, -23.636222], [-46.677714, -23.636171], [-46.677483, -23.635951], [-46.677425, -23.635896], [-46.677247, -23.635715], [-46.676819, -23.635267]]	355030815000045	CAMPO-BELO
[[-46.683911, -23.626688], [-46.684214, -23.627009], [-46.684611, -23.627423], [-46.685034, -23.627877], [-46.685299, -23.628153], [-46.685314, -23.628167], [-46.685312, -23.628171], [-46.685046, -23.628705], [-46.684667, -23.629485], [-46.684577, -23.629635], [-46.684506, -23.629729], [-46.684505, -23.629731], [-46.684427, -23.629664], [-46.684298, -23.629664], [-46.68416, -23.629701], [-46.68407, -23.629725], [-46.683992, -23.629759], [-46.683056, -23.630013], [-46.682691, -23.630256], [-46.682354, -23.630481], [-46.682139, -23.630626], [-46.681607, -23.630981], [-46.680808, -23.631499], [-46.68095, -23.631219], [-46.681003, -23.631137], [-46.681011, -23.631118], [-46.681029, -23.631069], [-46.681044, -23.630997], [-46.681052, -23.630909], [-46.681065, -23.630658], [-46.68107, -23.630594], [-46.681074, -23.630547], [-46.681011, -23.630349], [-46.680846, -23.630022], [-46.680787, -23.62995], [-46.680735, -23.629889], [-46.680677, -23.629818], [-46.680377, -23.629493], [-46.680103, -23.629206], [-46.679858, -23.628943], [-46.679919, -23.628889], [-46.680469, -23.628447], [-46.680711, -23.628257], [-46.681039, -23.627991], [-46.681568, -23.627572], [-46.681631, -23.627516], [-46.682432, -23.626886], [-46.682691, -23.626678], [-46.683259, -23.626224], [-46.683385, -23.626132], [-46.683477, -23.626229]]	355030815000046	CAMPO-BELO
[[-46.677247, -23.635715], [-46.677425, -23.635896], [-46.677483, -23.635951], [-46.677714, -23.636171], [-46.677776, -23.636222], [-46.677753, -23.636256], [-46.677724, -23.636296], [-46.677573, -23.636516], [-46.677468, -23.636707], [-46.677334, -23.636959], [-46.67725, -23.637157], [-46.677182, -23.637346], [-46.677094, -23.637634], [-46.676758, -23.638954], [-46.676757, -23.638954], [-46.676666, -23.638941], [-46.676544, -23.638917], [-46.676287, -23.638867], [-46.675845, -23.638782], [-46.675599, -23.638729], [-46.675119, -23.638226], [-46.674642, -23.637741], [-46.674187, -23.637269], [-46.674112, -23.63719], [-46.673695, -23.636751], [-46.673179, -23.636202], [-46.673559, -23.635896], [-46.674036, -23.635511], [-46.674607, -23.63505], [-46.674896, -23.634822], [-46.675172, -23.634603], [-46.675748, -23.634136], [-46.675772, -23.634158], [-46.676583, -23.635027], [-46.676669, -23.635114], [-46.676729, -23.635164], [-46.676819, -23.635267]]	355030815000116	CAMPO-BELO
[[-46.682691, -23.626678], [-46.682432, -23.626886], [-46.681631, -23.627516], [-46.681568, -23.627572], [-46.681039, -23.627991], [-46.680711, -23.628257], [-46.680469, -23.628447], [-46.679919, -23.628889], [-46.679858, -23.628943], [-46.678859, -23.62788], [-46.677849, -23.626835], [-46.678709, -23.626135], [-46.679563, -23.625449], [-46.680418, -23.624763], [-46.680934, -23.62531], [-46.681421, -23.625818], [-46.681484, -23.625772], [-46.681869, -23.625462], [-46.682294, -23.625125], [-46.682372, -23.625064], [-46.68242, -23.625115], [-46.682481, -23.625184], [-46.682792, -23.625512], [-46.682927, -23.625655], [-46.68328, -23.626023], [-46.683385, -23.626132], [-46.683259, -23.626224]]	355030815000047	CAMPO-BELO
[[-46.664867, -23.616114], [-46.664921, -23.616179], [-46.665109, -23.616397], [-46.665227, -23.616522], [-46.665538, -23.61685], [-46.664803, -23.617122], [-46.663319, -23.617661], [-46.663424, -23.617783], [-46.663822, -23.618206], [-46.664188, -23.618607], [-46.664121, -23.619318], [-46.664077, -23.619803], [-46.664027, -23.620455], [-46.664048, -23.620465], [-46.664071, -23.620476], [-46.664085, -23.6205], [-46.664088, -23.620524], [-46.664081, -23.620546], [-46.664068, -23.620567], [-46.664043, -23.620582], [-46.664018, -23.620591], [-46.663979, -23.620589], [-46.663989, -23.620642], [-46.664008, -23.620719], [-46.664015, -23.620796], [-46.664001, -23.620965], [-46.663991, -23.621101], [-46.663954, -23.621514], [-46.663935, -23.621685], [-46.663776, -23.621676], [-46.662847, -23.621604], [-46.661885, -23.621534], [-46.661797, -23.621527], [-46.661815, -23.621329], [-46.661856, -23.620912], [-46.661887, -23.62052], [-46.66191, -23.62027], [-46.661935, -23.619976], [-46.661963, -23.619688], [-46.661995, -23.619397], [-46.662026, -23.619114], [-46.662048, -23.618913], [-46.662059, -23.618762], [-46.662068, -23.618638], [-46.662064, -23.618546], [-46.662054, -23.618396], [-46.662045, -23.618345], [-46.66202, -23.618171], [-46.661989, -23.618059], [-46.661943, -23.61791], [-46.661892, -23.617783], [-46.661825, -23.617631], [-46.661777, -23.617551], [-46.661687, -23.617398], [-46.662183, -23.617156], [-46.663517, -23.616492], [-46.663703, -23.616414], [-46.663867, -23.616353], [-46.664349, -23.616219], [-46.664626, -23.616158], [-46.664866, -23.616113]]	355030815000057	CAMPO-BELO
[[-46.671971, -23.614025], [-46.67154, -23.613566], [-46.670938, -23.612924], [-46.671215, -23.612798], [-46.67198, -23.612436], [-46.672289, -23.612293], [-46.672806, -23.612053], [-46.673519, -23.611714], [-46.673683, -23.611618], [-46.67389, -23.611467], [-46.674035, -23.611364], [-46.674086, -23.611421], [-46.674754, -23.612103], [-46.675098, -23.612471], [-46.67528, -23.612665], [-46.675576, -23.612962], [-46.675926, -23.613344], [-46.676246, -23.613683], [-46.67661, -23.614072], [-46.676181, -23.614421], [-46.67574, -23.614768], [-46.675537, -23.61493], [-46.675375, -23.615063], [-46.674888, -23.615461], [-46.674772, -23.615329], [-46.674517, -23.615063], [-46.674139, -23.614667], [-46.673989, -23.61451], [-46.673581, -23.614072], [-46.673417, -23.613901], [-46.6734, -23.613872], [-46.672645, -23.614473], [-46.672457, -23.61454]]	355030815000095	CAMPO-BELO
[[-46.676767, -23.60901], [-46.676946, -23.609591], [-46.67709, -23.610083], [-46.677243, -23.61056], [-46.67735, -23.61086], [-46.677375, -23.610927], [-46.677374, -23.610928], [-46.677284, -23.611], [-46.677238, -23.611049], [-46.676128, -23.611966], [-46.677073, -23.612973], [-46.677337, -23.613248], [-46.677455, -23.613394], [-46.67761, -23.613555], [-46.678116, -23.614094], [-46.678207, -23.614182], [-46.678146, -23.614228], [-46.677746, -23.614557], [-46.677354, -23.614867], [-46.677108, -23.615063], [-46.676488, -23.615558], [-46.676211, -23.615263], [-46.67602, -23.615063], [-46.67574, -23.614768], [-46.676181, -23.614421], [-46.67661, -23.614072], [-46.676246, -23.613683], [-46.675926, -23.613344], [-46.675576, -23.612962], [-46.67528, -23.612665], [-46.675098, -23.612471], [-46.674754, -23.612103], [-46.674086, -23.611421], [-46.674035, -23.611364], [-46.674405, -23.611097], [-46.674531, -23.611], [-46.674569, -23.610965], [-46.674633, -23.610906], [-46.674752, -23.610768], [-46.675741, -23.609431], [-46.675844, -23.609297], [-46.675866, -23.609275], [-46.675905, -23.609235], [-46.675975, -23.609163], [-46.676127, -23.609], [-46.67617, -23.608962], [-46.676199, -23.608936], [-46.676357, -23.608795], [-46.676521, -23.608649], [-46.676559, -23.608619], [-46.67663, -23.608563]]	355030815000094	CAMPO-BELO
[[-46.669038, -23.633633], [-46.669049, -23.633809], [-46.669053, -23.63406], [-46.669038, -23.634502], [-46.669076, -23.634822], [-46.669129, -23.63499], [-46.669231, -23.635202], [-46.669244, -23.635231], [-46.669423, -23.635455], [-46.669378, -23.63549], [-46.669257, -23.635566], [-46.669202, -23.635631], [-46.669182, -23.635654], [-46.668883, -23.635896], [-46.668743, -23.636001], [-46.668581, -23.636122], [-46.668578, -23.636124], [-46.668439, -23.636243], [-46.667748, -23.636804], [-46.667451, -23.637025], [-46.667201, -23.637211], [-46.667119, -23.637278], [-46.667099, -23.637276], [-46.667069, -23.637276], [-46.667045, -23.637282], [-46.666862, -23.637402], [-46.666098, -23.637866], [-46.665663, -23.638126], [-46.665395, -23.638294], [-46.66528, -23.638369], [-46.665197, -23.638438], [-46.66483, -23.638749], [-46.664372, -23.639123], [-46.663769, -23.6396], [-46.663022, -23.638795], [-46.66261, -23.638353], [-46.662465, -23.6382], [-46.662336, -23.638079], [-46.662402, -23.638041], [-46.662764, -23.637665], [-46.663244, -23.637386], [-46.663289, -23.637354], [-46.663536, -23.637176], [-46.664323, -23.637155], [-46.664477, -23.637101], [-46.664532, -23.637084], [-46.665065, -23.636914], [-46.665346, -23.636872], [-46.665597, -23.636696], [-46.665861, -23.636474], [-46.666225, -23.636353], [-46.666617, -23.636272], [-46.667025, -23.635903], [-46.667414, -23.635592], [-46.667435, -23.635575], [-46.667443, -23.635569], [-46.667484, -23.635536], [-46.667605, -23.635457], [-46.668251, -23.635037], [-46.668514, -23.634762], [-46.66858, -23.634397], [-46.668589, -23.634053], [-46.668576, -23.633973], [-46.66859, -23.633829], [-46.668598, -23.633766], [-46.668646, -23.633582], [-46.668682, -23.633502], [-46.668764, -23.633397], [-46.668984, -23.633293], [-46.669015, -23.63328]]	355030815000038	CAMPO-BELO
[[-46.669015, -23.63328], [-46.668984, -23.633293], [-46.668764, -23.633397], [-46.668682, -23.633502], [-46.668646, -23.633582], [-46.668598, -23.633766], [-46.66859, -23.633829], [-46.668483, -23.633899], [-46.668476, -23.633904], [-46.668135, -23.634115], [-46.668013, -23.634191], [-46.666996, -23.634792], [-46.66704, -23.634879], [-46.667274, -23.63529], [-46.66739, -23.63554], [-46.667414, -23.635592], [-46.667025, -23.635903], [-46.666617, -23.636272], [-46.666225, -23.636353], [-46.665861, -23.636474], [-46.665597, -23.636696], [-46.665346, -23.636872], [-46.665065, -23.636914], [-46.664532, -23.637084], [-46.664477, -23.637101], [-46.664323, -23.637155], [-46.663536, -23.637176], [-46.663289, -23.637354], [-46.663244, -23.637386], [-46.662764, -23.637665], [-46.662402, -23.638041], [-46.662336, -23.638079], [-46.66222, -23.637946], [-46.662051, -23.637752], [-46.661858, -23.637535], [-46.661717, -23.637385], [-46.66147, -23.637105], [-46.661344, -23.636947], [-46.66129, -23.636913], [-46.661213, -23.636652], [-46.661858, -23.636435], [-46.662153, -23.63634], [-46.662247, -23.636304], [-46.662477, -23.636228], [-46.662647, -23.636167], [-46.662784, -23.636105], [-46.662933, -23.636035], [-46.663147, -23.635936], [-46.663232, -23.635896], [-46.663659, -23.635693], [-46.664658, -23.635207], [-46.665661, -23.634727], [-46.666673, -23.634237], [-46.667663, -23.633754], [-46.667865, -23.633655], [-46.668178, -23.633521], [-46.668259, -23.633468], [-46.668419, -23.633392], [-46.668451, -23.63338], [-46.668601, -23.633326], [-46.668761, -23.633289], [-46.668883, -23.633256], [-46.668952, -23.633196], [-46.669, -23.633165], [-46.669008, -23.633225]]	355030815000015	CAMPO-BELO
